   5 , eos_01_modis_05.flt
Number of data points:
101
Wavenumber (cm-1)   Filter response
     7806.000000       0.000000
     7810.320000       0.010192
     7814.640000       0.010220
     7818.960000       0.010425
     7823.280000       0.010529
     7827.600000       0.010743
     7831.920000       0.010953
     7836.240000       0.011216
     7840.560000       0.011492
     7844.880000       0.011785
     7849.200000       0.012097
     7853.520000       0.012430
     7857.840000       0.012788
     7862.160000       0.013173
     7866.480000       0.013589
     7870.800000       0.014045
     7875.120000       0.015026
     7879.440000       0.017185
     7883.760000       0.019797
     7888.080000       0.022643
     7892.400000       0.025812
     7896.720000       0.029987
     7901.040000       0.035499
     7905.360000       0.041616
     7909.680000       0.048377
     7914.000000       0.056489
     7918.320000       0.066962
     7922.640000       0.078809
     7926.960000       0.091538
     7931.280000       0.105650
     7935.600000       0.124376
     7939.920000       0.148911
     7944.240000       0.176113
     7948.560000       0.206198
     7952.880000       0.244166
     7957.200000       0.291199
     7961.520000       0.340923
     7965.840000       0.391859
     7970.160000       0.445555
     7974.480000       0.501969
     7978.800000       0.559499
     7983.120000       0.617181
     7987.440000       0.674147
     7991.760000       0.728831
     7996.080000       0.777729
     8000.400000       0.823793
     8004.720000       0.866753
     8009.040000       0.902743
     8013.360000       0.928626
     8017.680000       0.949596
     8022.000000       0.967950
     8026.320000       0.982367
     8030.640000       0.990597
     8034.960000       0.995478
     8039.280000       0.998714
     8043.600000       1.000000
     8047.920000       0.997081
     8052.240000       0.989949
     8056.560000       0.982070
     8060.880000       0.973580
     8065.200000       0.964456
     8069.520000       0.954150
     8073.840000       0.940743
     8078.160000       0.925715
     8082.480000       0.909120
     8086.800000       0.888495
     8091.120000       0.861248
     8095.440000       0.831164
     8099.760000       0.799054
     8104.080000       0.763174
     8108.400000       0.722055
     8112.720000       0.678409
     8117.040000       0.634116
     8121.360000       0.589336
     8125.680000       0.543102
     8130.000000       0.494531
     8134.320000       0.445377
     8138.640000       0.396035
     8142.960000       0.347159
     8147.280000       0.302249
     8151.600000       0.264349
     8155.920000       0.229097
     8160.240000       0.195515
     8164.560000       0.164964
     8168.880000       0.141386
     8173.200000       0.121384
     8177.520000       0.102697
     8181.840000       0.085255
     8186.160000       0.071023
     8190.480000       0.060524
     8194.800000       0.051351
     8199.120000       0.042942
     8203.440000       0.035618
     8207.760000       0.030126
     8212.080000       0.025708
     8216.400000       0.021669
     8220.720000       0.017957
     8225.040000       0.014827
     8229.360000       0.012404
     8233.680000       0.010477
     8238.000000       0.000000
