   3 , eos_01_modis_03.flt
Number of data points:
101
Wavenumber (cm-1)   Filter response
    20799.000000       0.000000
    20812.800000       0.011053
    20826.600000       0.014102
    20840.400000       0.018590
    20854.200000       0.023737
    20868.000000       0.031216
    20881.800000       0.041882
    20895.600000       0.055137
    20909.400000       0.072599
    20923.200000       0.095736
    20937.000000       0.124142
    20950.800000       0.157952
    20964.600000       0.197641
    20978.400000       0.243678
    20992.200000       0.294179
    21006.000000       0.346621
    21019.800000       0.401897
    21033.600000       0.459004
    21047.400000       0.514083
    21061.200000       0.566158
    21075.000000       0.616078
    21088.800000       0.662534
    21102.600000       0.704654
    21116.400000       0.742874
    21130.200000       0.777274
    21144.000000       0.807815
    21157.800000       0.834502
    21171.600000       0.857465
    21185.400000       0.876815
    21199.200000       0.892550
    21213.000000       0.904795
    21226.800000       0.913760
    21240.600000       0.919304
    21254.400000       0.921547
    21268.200000       0.921243
    21282.000000       0.918524
    21295.800000       0.913114
    21309.600000       0.906251
    21323.400000       0.899047
    21337.200000       0.890972
    21351.000000       0.882476
    21364.800000       0.874565
    21378.600000       0.867235
    21392.400000       0.860431
    21406.200000       0.854458
    21420.000000       0.849362
    21433.800000       0.845037
    21447.600000       0.841454
    21461.400000       0.838756
    21475.200000       0.837103
    21489.000000       0.835742
    21502.800000       0.833729
    21516.600000       0.830317
    21530.400000       0.826654
    21544.200000       0.825193
    21558.000000       0.826569
    21571.800000       0.830493
    21585.600000       0.838355
    21599.400000       0.851783
    21613.200000       0.871225
    21627.000000       0.893622
    21640.800000       0.915041
    21654.600000       0.935522
    21668.400000       0.955382
    21682.200000       0.972328
    21696.000000       0.984977
    21709.800000       0.994339
    21723.600000       0.999700
    21737.400000       1.000000
    21751.200000       0.995597
    21765.000000       0.986314
    21778.800000       0.970953
    21792.600000       0.949333
    21806.400000       0.921856
    21820.200000       0.887518
    21834.000000       0.844979
    21847.800000       0.792981
    21861.600000       0.733613
    21875.400000       0.670588
    21889.200000       0.603857
    21903.000000       0.533114
    21916.800000       0.463023
    21930.600000       0.397356
    21944.400000       0.334263
    21958.200000       0.275051
    21972.000000       0.222878
    21985.800000       0.178422
    21999.600000       0.140412
    22013.400000       0.108381
    22027.200000       0.082354
    22041.000000       0.063164
    22054.800000       0.049174
    22068.600000       0.037836
    22082.400000       0.028744
    22096.200000       0.022773
    22110.000000       0.018493
    22123.800000       0.014555
    22137.600000       0.011769
    22151.400000       0.010605
    22165.200000       0.011184
    22179.000000       0.000000
