   2 , eos_01_modis_02.flt
Number of data points:
101
Wavenumber (cm-1)   Filter response
    11117.000000       0.000000
    11127.920000       0.011502
    11138.840000       0.013461
    11149.760000       0.015827
    11160.680000       0.018185
    11171.600000       0.020419
    11182.520000       0.022439
    11193.440000       0.024265
    11204.360000       0.025937
    11215.280000       0.027506
    11226.200000       0.029035
    11237.120000       0.030522
    11248.040000       0.031804
    11258.960000       0.033692
    11269.880000       0.036091
    11280.800000       0.038801
    11291.720000       0.042402
    11302.640000       0.046929
    11313.560000       0.052951
    11324.480000       0.065781
    11335.400000       0.082477
    11346.320000       0.102575
    11357.240000       0.129923
    11368.160000       0.169828
    11379.080000       0.227072
    11390.000000       0.300489
    11400.920000       0.388235
    11411.840000       0.482305
    11422.760000       0.573263
    11433.680000       0.655165
    11444.600000       0.727271
    11455.520000       0.784321
    11466.440000       0.830924
    11477.360000       0.870809
    11488.280000       0.905283
    11499.200000       0.932081
    11510.120000       0.947468
    11521.040000       0.958947
    11531.960000       0.968777
    11542.880000       0.976878
    11553.800000       0.984118
    11564.720000       0.991292
    11575.640000       0.997225
    11586.560000       0.999213
    11597.480000       0.997668
    11608.400000       0.994188
    11619.320000       0.989582
    11630.240000       0.983931
    11641.160000       0.975939
    11652.080000       0.968778
    11663.000000       0.963433
    11673.920000       0.958716
    11684.840000       0.954950
    11695.760000       0.952564
    11706.680000       0.952411
    11717.600000       0.954984
    11728.520000       0.960174
    11739.440000       0.967097
    11750.360000       0.974695
    11761.280000       0.981905
    11772.200000       0.989245
    11783.120000       0.995895
    11794.040000       0.998731
    11804.960000       1.000000
    11815.880000       0.999370
    11826.800000       0.994869
    11837.720000       0.985333
    11848.640000       0.967656
    11859.560000       0.934468
    11870.480000       0.887218
    11881.400000       0.832038
    11892.320000       0.772169
    11903.240000       0.710226
    11914.160000       0.640373
    11925.080000       0.568588
    11936.000000       0.505471
    11946.920000       0.446235
    11957.840000       0.390137
    11968.760000       0.338225
    11979.680000       0.292646
    11990.600000       0.256432
    12001.520000       0.227139
    12012.440000       0.201920
    12023.360000       0.179645
    12034.280000       0.159288
    12045.200000       0.139808
    12056.120000       0.122391
    12067.040000       0.107443
    12077.960000       0.093733
    12088.880000       0.080778
    12099.800000       0.068539
    12110.720000       0.057128
    12121.640000       0.046744
    12132.560000       0.038187
    12143.480000       0.031426
    12154.400000       0.025953
    12165.320000       0.021362
    12176.240000       0.017351
    12187.160000       0.013606
    12198.080000       0.010671
    12209.000000       0.000000
