   6 , eos_01_modis_06.flt
Number of data points:
101
Wavenumber (cm-1)   Filter response
     6014.000000       0.000000
     6016.580000       0.010516
     6019.160000       0.011632
     6021.740000       0.013390
     6024.320000       0.015631
     6026.900000       0.018329
     6029.480000       0.021501
     6032.060000       0.025249
     6034.640000       0.029699
     6037.220000       0.034915
     6039.800000       0.041087
     6042.380000       0.048332
     6044.960000       0.056785
     6047.540000       0.066912
     6050.120000       0.078861
     6052.700000       0.092730
     6055.280000       0.109189
     6057.860000       0.128326
     6060.440000       0.150408
     6063.020000       0.176484
     6065.600000       0.207064
     6068.180000       0.241795
     6070.760000       0.279913
     6073.340000       0.321432
     6075.920000       0.365940
     6078.500000       0.412966
     6081.080000       0.462500
     6083.660000       0.513221
     6086.240000       0.563838
     6088.820000       0.613640
     6091.400000       0.661428
     6093.980000       0.706960
     6096.560000       0.750337
     6099.140000       0.790463
     6101.720000       0.826367
     6104.300000       0.858090
     6106.880000       0.885898
     6109.460000       0.910041
     6112.040000       0.930415
     6114.620000       0.946799
     6117.200000       0.958913
     6119.780000       0.967470
     6122.360000       0.973997
     6124.940000       0.979256
     6127.520000       0.983533
     6130.100000       0.987008
     6132.680000       0.989684
     6135.260000       0.991841
     6137.840000       0.993760
     6140.420000       0.995427
     6143.000000       0.996862
     6145.580000       0.998204
     6148.160000       0.999406
     6150.740000       1.000000
     6153.320000       0.999980
     6155.900000       0.999400
     6158.480000       0.995969
     6161.060000       0.987432
     6163.640000       0.973683
     6166.220000       0.953441
     6168.800000       0.925221
     6171.380000       0.889316
     6173.960000       0.848018
     6176.540000       0.803073
     6179.120000       0.754309
     6181.700000       0.702976
     6184.280000       0.650176
     6186.860000       0.596443
     6189.440000       0.543335
     6192.020000       0.491574
     6194.600000       0.441009
     6197.180000       0.392611
     6199.760000       0.347410
     6202.340000       0.305814
     6204.920000       0.267982
     6207.500000       0.233498
     6210.080000       0.202098
     6212.660000       0.173996
     6215.240000       0.149397
     6217.820000       0.128121
     6220.400000       0.109623
     6222.980000       0.093623
     6225.560000       0.080138
     6228.140000       0.068753
     6230.720000       0.059132
     6233.300000       0.051077
     6235.880000       0.044137
     6238.460000       0.038180
     6241.040000       0.033170
     6243.620000       0.028863
     6246.200000       0.025133
     6248.780000       0.021969
     6251.360000       0.019232
     6253.940000       0.016855
     6256.520000       0.014843
     6259.100000       0.013085
     6261.680000       0.011551
     6264.260000       0.010853
     6266.840000       0.011144
     6269.420000       0.010541
     6272.000000       0.000000
