   4 , eos_01_modis_04.flt
Number of data points:
101
Wavenumber (cm-1)   Filter response
    17595.000000       0.000000
    17604.670000       0.011612
    17614.340000       0.015760
    17624.010000       0.021276
    17633.680000       0.030503
    17643.350000       0.043030
    17653.020000       0.059117
    17662.690000       0.082014
    17672.360000       0.113690
    17682.030000       0.153340
    17691.700000       0.200198
    17701.370000       0.254556
    17711.040000       0.317384
    17720.710000       0.383545
    17730.380000       0.447628
    17740.050000       0.511005
    17749.720000       0.573106
    17759.390000       0.631270
    17769.060000       0.685722
    17778.730000       0.736762
    17788.400000       0.783227
    17798.070000       0.824595
    17807.740000       0.861205
    17817.410000       0.892478
    17827.080000       0.917596
    17836.750000       0.936490
    17846.420000       0.950841
    17856.090000       0.962408
    17865.760000       0.970434
    17875.430000       0.975355
    17885.100000       0.979045
    17894.770000       0.982058
    17904.440000       0.983845
    17914.110000       0.984709
    17923.780000       0.984840
    17933.450000       0.984043
    17943.120000       0.982616
    17952.790000       0.980858
    17962.460000       0.978524
    17972.130000       0.975949
    17981.800000       0.973769
    17991.470000       0.972186
    18001.140000       0.971005
    18010.810000       0.970183
    18020.480000       0.969680
    18030.150000       0.969478
    18039.820000       0.969633
    18049.490000       0.970186
    18059.160000       0.971016
    18068.830000       0.972249
    18078.500000       0.974132
    18088.170000       0.977062
    18097.840000       0.980906
    18107.510000       0.984777
    18117.180000       0.987893
    18126.850000       0.990453
    18136.520000       0.992692
    18146.190000       0.994733
    18155.860000       0.996753
    18165.530000       0.998550
    18175.200000       0.999737
    18184.870000       1.000000
    18194.540000       0.999447
    18204.210000       0.998356
    18213.880000       0.997023
    18223.550000       0.995709
    18233.220000       0.993988
    18242.890000       0.991148
    18252.560000       0.987452
    18262.230000       0.983211
    18271.900000       0.976189
    18281.570000       0.964407
    18291.240000       0.949110
    18300.910000       0.929267
    18310.580000       0.902568
    18320.250000       0.867799
    18329.920000       0.825898
    18339.590000       0.778426
    18349.260000       0.726242
    18358.930000       0.667436
    18368.600000       0.604995
    18378.270000       0.543572
    18387.940000       0.483484
    18397.610000       0.423626
    18407.280000       0.366280
    18416.950000       0.313353
    18426.620000       0.263886
    18436.290000       0.218392
    18445.960000       0.178107
    18455.630000       0.143603
    18465.300000       0.114268
    18474.970000       0.089394
    18484.640000       0.068533
    18494.310000       0.052509
    18503.980000       0.040418
    18513.650000       0.030593
    18523.320000       0.022887
    18532.990000       0.017707
    18542.660000       0.013702
    18552.330000       0.010729
    18562.000000       0.000000
